CVDs,RSP,NO2,SO2,O3
190.0,25.32,27.8,23.77,23.93
152.0,26.11,31.31,22.2,23.52
167.0,30.8,39.37,28.65,34.36
109.0,34.24,45.22,25.15,32.49
116.0,20.07,21.83,7.37,20.74
196.0,23.04,22.08,9.61,13.17
172.0,26.2,30.15,16.77,16.18
179.0,26.85,39.68,25.74,18.74
167.0,25.08,29.45,17.74,17.18
142.0,26.63,29.56,11.28,16.3
85.0,20.73,27.86,7.79,12.8
105.0,21.0,27.81,15.89,11.36
123.0,21.14,27.68,28.07,19.18
169.0,22.27,30.61,38.12,14.11
146.0,24.43,27.68,20.57,13.99
107.0,25.25,24.8,12.42,23.11
158.0,30.51,31.19,13.98,16.74
109.0,30.4,48.2,20.45,7.3
108.0,21.96,38.51,16.56,4.11
207.0,38.1,36.28,22.09,13.18
170.0,35.92,34.46,27.95,23.55
201.0,34.95,35.63,18.25,19.41
179.0,29.43,36.16,24.49,26.43
169.0,28.13,32.23,18.52,17.86
121.0,27.28,26.02,22.83,12.18
111.0,24.72,19.83,14.23,17.61
182.0,29.42,26.93,21.37,20.36
162.0,25.71,22.9,17.89,18.05
197.0,23.23,29.1,17.72,9.29
176.0,27.4,30.03,44.39,22.21
165.0,27.94,34.46,31.49,22.81
134.0,27.39,34.53,27.24,29.99
88.0,23.53,33.96,18.01,40.86
195.0,26.38,35.92,29.98,27.11
178.0,22.98,32.19,22.22,29.18
169.0,25.11,26.04,18.47,19.8
152.0,30.18,25.32,16.52,15.74
168.0,35.86,49.0,27.81,12.24
117.0,29.76,34.29,31.35,16.43
127.0,17.47,23.74,19.95,18.55
223.0,20.25,28.33,23.81,16.93
155.0,25.67,31.81,24.81,20.24
179.0,22.16,28.6,16.56,31.06
187.0,20.76,28.1,11.05,25.43
157.0,24.06,28.95,8.63,6.99
113.0,26.06,25.7,6.31,16.43
91.0,25.12,16.76,3.4,14.43
200.0,23.15,22.69,4.24,23.05
154.0,23.51,23.78,5.53,16.49
156.0,25.46,28.24,7.75,16.81
161.0,80.22,76.9,64.41,107.3
161.0,103.02,72.98,69.07,135.61
116.0,31.68,50.38,25.56,19.24
111.0,26.77,29.27,16.19,27.8
211.0,28.54,29.49,9.54,14.93
158.0,39.24,48.95,22.5,2.54
191.0,77.49,75.1,74.49,90.72
151.0,67.26,61.69,42.69,73.36
180.0,46.69,40.57,15.23,16.8
105.0,39.0,31.97,8.6,16.49
105.0,24.63,19.0,4.06,12.24
192.0,23.67,27.9,6.49,24.09
156.0,49.82,61.12,19.77,52.86
177.0,34.28,34.0,15.52,20.36
161.0,34.14,34.48,25.08,25.68
181.0,35.56,34.44,24.5,23.24
100.0,47.83,56.76,38.05,18.11
101.0,39.78,46.55,33.98,34.55
227.0,39.78,48.89,43.86,48.06
163.0,36.54,44.07,39.07,32.91
180.0,31.17,42.02,23.13,10.99
135.0,30.53,35.06,15.18,19.81
154.0,31.32,39.24,23.45,5.43
120.0,33.74,41.34,38.15,8.18
103.0,34.1,37.65,24.26,6.68
170.0,31.02,37.21,21.36,17.86
177.0,82.25,93.42,52.3,168.93
163.0,31.45,23.96,7.58,19.17
157.0,26.16,24.21,10.94,22.06
147.0,35.88,38.11,27.51,32.06
92.0,40.08,49.51,43.2,16.49
88.0,31.07,48.11,35.36,17.93
132.0,33.61,50.14,41.09,17.24
201.0,28.5,40.43,31.91,34.68
191.0,35.88,43.41,41.03,29.79
164.0,34.56,41.87,26.51,28.68
166.0,32.3,31.84,26.99,17.36
127.0,33.09,35.49,32.15,19.18
127.0,45.31,60.71,44.73,62.11
204.0,93.46,102.53,55.87,60.43
160.0,67.35,76.26,27.76,50.74
176.0,42.49,59.07,17.44,37.84
170.0,40.23,54.1,10.82,63.34
162.0,59.17,71.3,18.78,38.8
112.0,46.07,55.72,12.01,51.55
93.0,47.47,46.25,10.56,91.74
199.0,31.71,20.47,6.42,23.36
